CoC_Number,Year,B01003_001E,B17001_002E,B25002_001E,B25002_003E,B25003_003E,B25003_001E,B25106_001E,B23025_003E,B23025_005E,B25064_001E,B19013_001E,Unemployment_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Poverty_Rate,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,...1,"Total Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)",Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Year-Round Beds (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Year-Round PSH Beds,Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH)
FL-501,2015,1273559,216245,540318,62215,200840,478103,103693,657885,58996,316808,15820669,8.967524719365846,11.514515526042072,42.00768453659567,51.62965544712209,16.979582414320813,1931,1363,568,756,1175,3228,1302,735,557,10,574,728,317,418,257,300,0,10,347,269,78,1437,496,941
FL-501,2016,1295422,211926,546013,58039,207882,487974,104672,671135,53187,324408,16348244,7.92493313565825,10.62960039412981,42.60104021935595,50.35164179678856,16.359610999350018,1817,1284,533,769,1048,2822,1240,717,513,10,595,645,359,358,236,277,0,10,638,530,108,1460,480,980
FL-501,2017,1311720,205511,549410,56437,211015,492973,104629,679396,46554,334338,16876980,6.852262892333778,10.272292095156622,42.804575504135116,49.58367888538729,15.667291800079287,1549,1070,479,567,982,2421,1108,755,338,15,543,565,402,353,141,197,0,15,535,433,102,1575,484,1091
FL-501,2018,1342098,206008,560581,54733,214610,505848,106864,692450,42856,350032,17657470,6.189038919777602,9.763620243996854,42.425787983742154,49.7945109733936,15.34969875523248,1795,1193,602,640,1155,2023,1292,960,316,16,663,629,516,444,147,169,0,16,592,472,120,1609,501,1108
FL-501,2019,1364473,198614,561235,53388,213872,507847,105199,710860,38918,360537,18228589,5.474777030638944,9.51259276417187,42.11347118325007,49.18783197426498,14.556096016557307,1650,1194,456,672,978,1625,1107,779,313,15,513,594,374,405,139,174,0,15,684,558,126,1580,527,1053
FL-501,2020,1374709,193709,564738,49930,212355,514808,105485,715489,37354,381170,19232977,5.220765099114033,8.841267986216616,41.24935898432037,49.673895128440584,14.09090942155758,1452,1073,379,612,840,1232,1106,800,291,15,522,584,383,417,139,152,0,15,760,662,98,1499,476,1023
FL-501,2021,1372645,194677,569312,47218,212207,522094,107878,716037,36383,402324,20455694,5.081162006991259,8.293870496318362,40.64536271246174,50.83621181205144,14.182618229768076,870,470,400,0,870,845,1031,891,125,15,511,520,474,417,37,88,0,15,879,699,180,1527,389,1138
FL-501,2022,1387664,189273,575651,44928,210637,530723,108116,729156,36087,443541,22339839,4.9491466846600725,7.804728906924509,39.68868882637459,51.32811424393625,13.639685111093176,1513,1055,458,588,925,457,910,842,68,0,429,481,423,419,6,62,0,0,1106,815,291,1474,429,1045
FL-501,2023,1387664,189273,575651,44928,210637,530723,108116,729156,36087,443541,22339839,4.9491466846600725,7.804728906924509,39.68868882637459,51.32811424393625,13.639685111093176,2040,1428,612,1135,905,71,1035,960,75,0,523,509,511,446,12,63,0,0,666,457,209,1425,151,1274
FL-502,2007,892401,107872,491275,96086,119409,395189,62435,448610,40271,226038,11094418,8.976839571119681,19.558495750852373,30.215668958397124,52.286678558567615,12.087839435410764,2526,2129,397,1221,1305,6687,NA,559,823,NA,NA,NA,222,337,350,473,NA,NA,NA,NA,NA,358,86,272
FL-502,2008,892401,107872,491275,96086,119409,395189,62435,448610,40271,226038,11094418,8.976839571119681,19.558495750852373,30.215668958397124,52.286678558567615,12.087839435410764,2526,2129,397,1221,1305,6235,NA,793,982,NA,NA,NA,253,540,254,728,NA,NA,NA,NA,NA,406,93,313
FL-502,2009,892401,107872,491275,96086,119409,395189,62435,448610,40271,226038,11094418,8.976839571119681,19.558495750852373,30.215668958397124,52.286678558567615,12.087839435410764,3419,2843,576,1728,1691,5787,NA,809,942,NA,NA,NA,274,535,307,635,NA,NA,NA,NA,NA,310,69,241
FL-502,2010,892401,107872,491275,96086,119409,395189,62435,448610,40271,226038,11094418,8.976839571119681,19.558495750852373,30.215668958397124,52.286678558567615,12.087839435410764,3948,3463,485,2157,1791,5340,NA,991,938,NA,NA,NA,250,741,278,660,NA,NA,NA,NA,NA,322,73,249
FL-502,2011,893248,111590,490433,98713,121373,391720,64355,450359,40440,230940,11150035,8.979503018702857,20.127723868499878,30.984631879914225,53.02250088569945,12.492611234505983,3890,2689,1201,2020,1870,4903,NA,1224,848,NA,NA,NA,246,978,313,535,NA,NA,NA,NA,NA,693,74,619
FL-502,2012,901448,117011,496732,100911,127408,395821,66929,453043,45673,242233,11494070,10.08138300337937,20.314978700788352,32.18828712978847,52.53123822679895,12.98033830015708,3971,2922,1049,2020,1951,4475,NA,1320,853,NA,NA,NA,247,1073,186,667,NA,NA,NA,NA,NA,706,65,641
FL-502,2013,915013,126731,499635,99970,132600,399665,69547,457968,48023,242507,11393153,10.486103832582188,20.00860628258629,33.17778639610674,52.44871794871795,13.85018573506606,3913,3188,725,2087,1826,4052,NA,1237,994,NA,NA,NA,229,1008,202,792,NA,NA,0,0,0,880,119,761
FL-502,2014,919883,130252,500759,100359,138815,400400,72625,458399,44368,246463,11408621,9.678904186091158,20.041377189426452,34.66908091908092,52.317833087202395,14.159626822106725,3391,2865,526,1178,2213,3635,2367,1363,959,45,581,1786,254,1109,327,632,0,45,18,0,18,1009,154,855
FL-502,2015,926266,131208,500108,100298,141423,399810,72221,460329,38872,247901,11663357,8.444395204299534,20.055268062098584,35.37255196218204,51.06736528004638,14.165261382799327,3387,2903,484,1172,2215,3229,2507,1535,927,45,782,1670,431,1080,351,545,0,45,408,0,408,1200,243,957
FL-502,2016,937699,130557,503538,98570,143618,404968,72265,463181,34056,254184,12129656,7.352633203866307,19.57548387609277,35.464036664625354,50.31750894734643,13.92312458475481,2777,2383,394,1139,1638,2823,2163,1378,740,45,549,1546,305,1049,244,452,0,45,774,626,148,1415,741,674
FL-502,2017,945716,127345,503659,98705,140794,404954,70633,467152,29970,263931,12545978,6.415470767544611,19.597584873892853,34.76789956390108,50.16762077929457,13.465458974998837,2831,2466,365,1152,1679,2422,2047,1543,459,45,525,1477,423,1096,102,336,0,45,143,111,32,1524,214,1310
FL-502,2018,944553,122204,498755,97665,137795,401090,68301,466332,26763,273563,12974567,5.739044286045135,19.581758578861365,34.35513226457903,49.56711056279256,12.937759977470826,2612,2253,359,965,1647,2024,1971,1545,351,75,421,1511,382,1139,39,297,0,75,601,511,90,1570,323,1247
FL-502,2019,954696,115424,502763,99738,133391,403025,66777,473798,25634,282228,13741572,5.410322542518119,19.837975348225704,33.09745053036412,50.06109857486637,12.090131308814534,2415,2034,381,834,1581,1626,1941,1476,380,85,438,1448,343,1109,95,254,0,85,369,290,79,1555,316,1239
FL-502,2020,929507,106672,485106,91802,126647,393304,64393,465670,24108,315541,15067862,5.1770567139820045,18.924111431316042,32.20079124544881,50.844473220842175,11.476191142186126,2226,1876,350,808,1418,1233,1899,1443,371,85,421,1447,322,1109,99,253,0,85,583,531,52,1589,336,1253
FL-502,2021,896117,103520,481142,92919,124046,388223,64757,453532,22945,332237,15852308,5.059179947611194,19.312178109580955,31.95225424562687,52.20402108895087,11.552062956064889,2307,933,372,1002,1305,846,1515,1156,299,60,467,1023,380,764,87,199,0,60,665,549,116,1602,336,1266
FL-502,2022,891628,103075,480670,90521,123078,390149,64634,451572,21698,365259,17251824,4.804992337877459,18.83225497742734,31.54640919238547,52.514665496676905,11.560314391203507,1985,1536,449,644,1341,458,1772,1311,391,70,503,1228,395,892,108,266,0,70,636,514,122,1615,356,1259
FL-502,2023,891628,103075,480670,90521,123078,390149,64634,451572,21698,365259,17251824,4.804992337877459,18.83225497742734,31.54640919238547,52.514665496676905,11.560314391203507,2144,1638,506,646,1498,72,1986,1545,371,70,533,1406,426,1095,107,241,0,70,667,486,181,1641,362,1279
FL-503,2007,565602,85992,266377,51995,61387,214382,29652,261473,28057,117635,6194631,10.730362217131406,19.519327869898678,28.634400276142586,48.30338671054132,15.203623749562414,802,593,209,315,487,6688,NA,382,350,NA,NA,NA,56,326,132,218,NA,NA,NA,NA,NA,81,65,16
FL-503,2008,565602,85992,266377,51995,61387,214382,29652,261473,28057,117635,6194631,10.730362217131406,19.519327869898678,28.634400276142586,48.30338671054132,15.203623749562414,1149,930,219,441,708,6236,NA,308,280,NA,NA,NA,35,273,84,196,NA,NA,NA,NA,NA,78,53,25
FL-503,2009,565602,85992,266377,51995,61387,214382,29652,261473,28057,117635,6194631,10.730362217131406,19.519327869898678,28.634400276142586,48.30338671054132,15.203623749562414,725,606,119,359,366,5788,NA,255,297,NA,NA,NA,68,187,158,139,NA,NA,NA,NA,NA,69,49,20
FL-503,2010,565602,85992,266377,51995,61387,214382,29652,261473,28057,117635,6194631,10.730362217131406,19.519327869898678,28.634400276142586,48.30338671054132,15.203623749562414,820,694,126,377,443,5341,NA,255,297,NA,NA,NA,68,187,158,139,NA,NA,NA,NA,NA,69,49,20
FL-503,2011,579486,94949,272288,56842,62029,215446,31667,265233,28383,125922,6312163,10.701157095836491,20.87569044541074,28.79097314408251,51.05192732431605,16.385037774855647,1100,933,167,602,498,4904,NA,200,234,NA,NA,NA,54,146,116,118,NA,NA,NA,NA,NA,211,90,121
FL-503,2012,596045,102695,276810,58175,64083,218635,32966,270507,32252,131593,6546066,11.922796822263379,21.01622051226473,29.31049466004986,51.44266029992354,17.229403820181364,881,750,131,584,297,4476,NA,222,194,NA,NA,NA,54,160,98,96,NA,NA,NA,NA,NA,134,66,68
FL-503,2013,602707,107738,276702,60147,64387,216555,32452,272173,34326,132488,6539120,12.611831445440952,21.73710345425765,29.732400544896215,50.40147855933651,17.875684204762845,520,405,115,195,325,4053,NA,174,195,NA,NA,NA,54,120,95,100,NA,NA,0,0,0,134,66,68
FL-503,2014,606170,109729,276202,59860,66583,216342,33538,269765,32423,132615,6449611,12.018979482141864,21.67254400764658,30.776733135498425,50.37021461934727,18.10201758582576,536,451,85,288,248,3636,433,178,255,0,207,226,54,124,153,102,0,0,0,0,0,139,95,44
FL-503,2015,618204,110959,277535,59781,68102,217754,33641,271422,29193,134178,6642938,10.755576187634016,21.539985947718307,31.27474122174564,49.397961880708344,17.948605961786075,464,348,116,237,227,3230,512,222,290,0,237,275,84,138,153,137,0,0,0,0,0,148,88,60
FL-503,2016,631887,109504,279884,59341,70552,220543,33767,277025,26628,135421,6816890,9.612128869235628,21.201997970587815,31.990133443364787,47.86115205805647,17.32968078153214,635,417,218,260,375,2824,664,300,364,0,394,258,150,138,244,120,0,0,12,10,2,155,93,62
FL-503,2017,649525,110376,288161,61951,71882,226210,33867,284688,21913,140016,7063218,7.697198336424436,21.498745492970944,31.77666769815658,47.11471578420189,16.993341287864208,512,342,170,149,363,2423,524,208,316,0,266,249,120,79,146,170,0,0,7,0,7,253,117,136
FL-503,2018,662364,108363,288321,59490,72639,228831,33967,292853,20175,145915,7379538,6.88912184611392,20.63325252062805,31.743513772172477,46.761381626949714,16.36003768320742,552,354,198,134,418,2025,571,270,301,0,296,266,150,111,146,155,0,0,70,33,37,270,143,127
FL-503,2019,678348,105310,291779,59146,72798,232633,33694,301495,17918,150945,7616175,5.9430504651818445,20.27082140935434,31.293066761809374,46.28423857798291,15.524480060381988,563,374,189,114,449,1627,598,279,319,0,330,259,144,126,186,133,0,0,93,54,39,278,150,128
FL-503,2020,674657,101201,287032,56848,70735,230184,32699,301402,16434,171603,8425434,5.4525185632477555,19.805457231249477,30.729764014875055,46.227468721283664,15.00036314749569,612,452,160,190,422,1234,616,284,332,0,343,264,150,125,193,139,0,0,133,97,36,254,133,121
FL-503,2021,647422,95287,282597,53221,72963,229376,33557,292181,14521,169095,8362841,4.969864570249263,18.83282554308786,31.80934361049107,45.99180406507408,14.71791196468455,385,234,151,0,385,847,639,281,358,0,372,259,153,120,219,139,0,0,111,79,32,203,80,123
FL-503,2022,685052,101264,294557,51403,75155,243154,34896,315777,14863,193439,9489878,4.706802585368789,17.45095176824859,30.908395502438786,46.43204044973721,14.78194356048884,506,356,150,128,378,459,625,267,358,0,369,254,150,115,219,139,0,0,212,151,61,203,80,123
FL-503,2023,685052,101264,294557,51403,75155,243154,34896,315777,14863,193439,9489878,4.706802585368789,17.45095176824859,30.908395502438786,46.43204044973721,14.78194356048884,776,476,300,172,604,73,626,282,344,0,318,301,150,125,168,176,0,0,76,36,40,211,89,122
FL-504,2007,574196,76240,290456,59272,54442,231184,29623,261172,24989,123522,5824346,9.568024137350099,20.40653317542072,23.549207557616445,54.412034826053414,13.27769611770197,1478,854,624,909,569,6689,NA,101,468,NA,NA,NA,31,70,335,133,NA,NA,NA,NA,NA,90,34,56
FL-504,2008,574196,76240,290456,59272,54442,231184,29623,261172,24989,123522,5824346,9.568024137350099,20.40653317542072,23.549207557616445,54.412034826053414,13.27769611770197,1801,1167,634,1225,576,6237,NA,103,507,NA,NA,NA,31,72,352,155,NA,NA,NA,NA,NA,131,33,98
FL-504,2009,574196,76240,290456,59272,54442,231184,29623,261172,24989,123522,5824346,9.568024137350099,20.40653317542072,23.549207557616445,54.412034826053414,13.27769611770197,1913,1507,406,1320,593,5789,NA,95,513,NA,NA,NA,31,64,352,161,NA,NA,NA,NA,NA,150,37,113
FL-504,2010,574196,76240,290456,59272,54442,231184,29623,261172,24989,123522,5824346,9.568024137350099,20.40653317542072,23.549207557616445,54.412034826053414,13.27769611770197,2155,1677,478,1452,703,5342,NA,107,509,NA,NA,NA,31,76,358,151,NA,NA,NA,NA,NA,113,54,59
FL-504,2011,580355,84220,295083,64977,55612,230106,30484,264183,25310,127423,5834646,9.580480197438897,22.019906263661408,24.1679921427516,54.81550744443645,14.511807428212043,2210,2015,195,1675,535,4905,NA,95,516,NA,NA,NA,31,64,343,173,NA,NA,NA,NA,NA,208,54,154
FL-504,2012,589843,91037,300543,69961,57948,230582,31101,262873,27575,131696,5914386,10.489856318450354,23.27819979171034,25.131189771968327,53.670532201283905,15.43410704204339,2384,2123,261,1881,503,4477,NA,105,493,NA,NA,NA,42,63,313,180,NA,NA,NA,NA,NA,228,71,157
FL-504,2013,589128,97081,298215,68893,61409,229322,32988,258293,29527,128974,5770310,11.4315912548927,23.10178897775095,26.778503588840145,53.71851031607745,16.478761831045205,2176,1779,397,1483,693,4054,NA,105,542,NA,NA,NA,51,54,340,199,NA,NA,0,0,0,260,102,158
FL-504,2014,593029,101618,299147,68567,63798,230580,34788,255630,26871,132025,5716330,10.511677033212065,22.92083825009109,27.66848816029144,54.52835512085018,17.135418335359653,1633,1171,462,1025,608,3637,594,150,444,0,380,208,80,70,300,138,0,0,0,0,0,319,167,152
FL-504,2015,599805,100368,300125,65413,67639,234712,37105,258179,23801,130704,5630768,9.218797810821174,21.79525197834236,28.8178704113978,54.85740475169651,16.73343836746943,1325,930,395,775,550,3231,563,153,410,0,377,186,83,70,294,116,0,0,170,121,49,426,164,262
FL-504,2016,606899,96540,299528,59686,70092,239842,37944,261129,20480,132707,5761319,7.842866935499313,19.926684650516812,29.22423929086649,54.13456599897278,15.907094920242082,1005,749,256,581,424,2825,487,176,311,0,363,113,93,72,270,41,0,0,273,124,149,384,66,318
FL-504,2017,613286,94997,300780,55458,72700,245322,39041,266406,17758,136791,5914753,6.6657657860558706,18.438061041292638,29.63452115994489,53.70151306740028,15.489836715659578,753,555,198,448,305,2424,449,158,291,0,298,135,79,68,219,67,0,0,112,57,55,433,56,377
FL-504,2018,629899,91083,308027,55710,73275,252317,38455,274796,15346,144325,6365713,5.584506324691771,18.08607686988478,29.040849407689535,52.48038212214261,14.459937228031796,683,484,199,406,277,2026,415,136,279,0,300,110,79,57,221,53,0,0,94,51,43,401,78,323
FL-504,2019,641528,88323,310219,52860,74201,257359,38339,282716,13725,149885,6642463,4.854695171125794,17.03957526779469,28.83170979060379,51.66911497149634,13.76759860832263,875,574,301,507,368,1628,509,239,250,20,335,162,182,45,153,97,0,20,123,100,23,438,140,298
FL-504,2020,617244,78798,295369,46780,71576,248589,36352,275978,13041,164923,7476941,4.725376660458442,15.837816426232948,28.79290716805651,50.787973622443275,12.766102222135817,904,604,300,453,451,1235,569,293,256,20,350,207,194,87,156,100,0,20,197,176,21,420,144,276
FL-504,2021,613017,76397,302010,47424,72347,254586,37433,276600,11606,173080,8045087,4.195950831525669,15.70279129830138,28.417509211032815,51.74091531093203,12.462460258035259,694,495,199,335,359,848,628,351,257,20,368,248,202,137,166,91,0,20,116,83,33,433,158,275
FL-504,2022,639359,74336,313830,47422,72945,266408,37666,288528,12038,194460,8874000,4.172212055675706,15.11072873848899,27.380934506471277,51.636164233326475,11.626644811443962,865,543,322,402,463,460,600,328,252,20,353,247,192,136,161,91,0,20,351,232,119,428,153,275
FL-504,2023,639359,74336,313830,47422,72945,266408,37666,288528,12038,194460,8874000,4.172212055675706,15.11072873848899,27.380934506471277,51.636164233326475,11.626644811443962,1053,741,312,583,470,74,546,278,248,20,331,215,170,108,161,87,0,20,82,50,32,432,171,261
FL-505,2007,228316,25687,131939,39595,28732,92344,12897,112837,10028,46127,2668601,8.887155808821575,30.010080415949798,31.114095122585116,44.88723374634554,11.25063508470716,2179,1193,986,2074,105,6690,NA,49,60,NA,NA,NA,24,25,30,30,NA,NA,NA,NA,NA,43,4,39
FL-505,2008,228316,25687,131939,39595,28732,92344,12897,112837,10028,46127,2668601,8.887155808821575,30.010080415949798,31.114095122585116,44.88723374634554,11.25063508470716,1763,993,770,1433,330,6238,NA,61,88,NA,NA,NA,24,37,42,46,NA,NA,NA,NA,NA,70,0,70
FL-505,2009,228316,25687,131939,39595,28732,92344,12897,112837,10028,46127,2668601,8.887155808821575,30.010080415949798,31.114095122585116,44.88723374634554,11.25063508470716,2446,1515,931,2137,309,5790,NA,113,110,NA,NA,NA,60,53,72,38,NA,NA,NA,NA,NA,71,0,71
FL-505,2010,228316,25687,131939,39595,28732,92344,12897,112837,10028,46127,2668601,8.887155808821575,30.010080415949798,31.114095122585116,44.88723374634554,11.25063508470716,2262,1248,1014,1791,471,5343,NA,140,180,NA,NA,NA,84,56,72,108,NA,NA,NA,NA,NA,47,0,47
FL-505,2011,227451,28048,125568,35471,28037,90097,13621,111594,9966,46951,2571671,8.930587666003548,28.24843909276249,31.11868319699879,48.582230623818525,12.331447212806275,2764,827,1937,2289,475,4906,NA,150,207,NA,NA,NA,86,64,77,130,NA,NA,NA,NA,NA,75,0,75
FL-505,2012,233836,30552,130706,38197,30078,92509,14741,114450,10443,50296,2672679,9.124508519003932,29.223601058864933,32.51359327200597,49.00924263581355,13.065567320686295,2438,975,1463,1928,510,4478,NA,164,239,NA,NA,NA,98,66,100,139,NA,NA,NA,NA,NA,75,0,75
FL-505,2013,240035,33764,132806,38033,30573,94773,14515,115494,10595,51213,2724343,9.173636725717353,28.63801334277066,32.259187743344626,47.47653158015242,14.06628200054159,1658,567,1091,1275,383,4055,NA,94,220,NA,NA,NA,74,20,60,152,NA,NA,0,0,0,70,11,59
FL-505,2014,244150,34886,133839,38807,31943,95032,15371,116783,9524,52449,2772930,8.15529657570023,28.995285380195607,33.61288829026012,48.12008890836803,14.288756911734591,1577,556,1021,1275,302,3638,229,81,148,0,107,114,33,48,74,66,0,0,0,0,0,60,60,0
FL-505,2015,248900,34274,135021,37975,33601,97046,15839,117117,8369,52724,2745845,7.145845607384069,28.12525459002674,34.62378665787359,47.13847802148746,13.770188830855764,683,566,117,411,272,3232,289,141,148,0,107,174,33,108,74,66,0,0,0,0,0,97,97,0
FL-505,2016,251167,32920,140334,42203,34655,98131,15935,116517,7717,52540,2813673,6.623067878506999,30.073253808770506,35.31503806136695,45.981820805078634,13.10681737648656,629,521,108,357,272,2826,217,99,118,0,107,102,33,66,74,36,0,0,0,0,0,42,42,0
FL-505,2017,255020,32173,142759,43074,35153,99685,16297,118074,7056,54211,2980848,5.97591341023426,30.17252852709812,35.26408185785223,46.36019685375359,12.615873264841973,401,247,154,271,130,2425,134,60,74,0,100,34,26,34,74,0,0,0,33,18,15,216,179,37
FL-505,2018,266595,31786,147075,43240,35518,103835,16875,123738,6841,56902,3203015,5.528616916387852,29.399966003739586,34.20619251697404,47.51112112168478,11.922954293966503,495,348,147,412,83,2027,134,60,74,0,112,22,38,22,74,0,0,0,44,36,8,231,183,48
FL-505,2019,264144,29348,145292,43338,34276,101954,16420,122292,6290,57356,3227976,5.143427207012723,29.828208022465102,33.619083115915025,47.90523981794842,11.110606335937973,399,319,80,234,165,1629,84,84,0,0,50,34,50,34,0,0,0,0,90,77,13,209,172,37
FL-505,2020,259646,27818,136092,35598,32510,100494,16006,120973,5400,71443,4006633,4.463805973233697,26.157305352261705,32.350190061098175,49.23408182097816,10.713818044568374,351,295,56,255,96,1236,112,112,0,0,52,60,52,60,0,0,0,0,80,74,6,216,177,39
FL-505,2021,249561,28296,132806,33616,32752,99190,16533,116325,4912,70593,3925887,4.222652052439287,25.312109392647926,33.01945760661357,50.47936003908158,11.338310072487287,73,34,39,0,73,849,82,82,0,0,44,38,44,38,0,0,0,0,28,18,10,216,5,211
FL-505,2022,260281,25635,143850,39153,32301,104697,16320,121330,4935,83471,4566294,4.067419434599852,27.217935349322207,30.851886873549383,50.524751555679394,9.8489709198904265,403,320,83,234,169,461,178,178,0,0,65,113,65,113,0,0,0,0,42,17,25,149,6,143
FL-505,2023,260281,25635,143850,39153,32301,104697,16320,121330,4935,83471,4566294,4.067419434599852,27.217935349322207,30.851886873549383,50.524751555679394,9.8489709198904265,395,314,81,257,138,75,139,139,0,0,37,100,37,100,0,0,0,0,36,19,17,149,6,143
FL-506,2007,408597,85665,189296,29028,61224,160268,33042,211465,21206,82707,4402931,10.028137043955264,15.334713887245371,38.201013302717946,53.96903175225402,20.965645856430665,590,434,156,95,495,6691,NA,275,371,NA,NA,NA,96,179,187,184,NA,NA,NA,NA,NA,252,142,110
FL-506,2008,408597,85665,189296,29028,61224,160268,33042,211465,21206,82707,4402931,10.028137043955264,15.334713887245371,38.201013302717946,53.96903175225402,20.965645856430665,590,434,156,95,495,6239,NA,253,440,NA,NA,NA,102,151,183,257,NA,NA,NA,NA,NA,254,128,126
FL-506,2009,408597,85665,189296,29028,61224,160268,33042,211465,21206,82707,4402931,10.028137043955264,15.334713887245371,38.201013302717946,53.96903175225402,20.965645856430665,640,475,165,104,536,5791,NA,303,425,NA,NA,NA,118,185,207,218,NA,NA,NA,NA,NA,408,278,130
FL-506,2010,408597,85665,189296,29028,61224,160268,33042,211465,21206,82707,4402931,10.028137043955264,15.334713887245371,38.201013302717946,53.96903175225402,20.965645856430665,640,475,165,104,536,5344,NA,356,455,NA,NA,NA,155,201,195,260,NA,NA,NA,NA,NA,376,240,136
FL-506,2011,408376,86525,189608,30131,62137,159477,33838,209436,21164,83427,4261340,10.10523501212781,15.89120712206236,38.9629852580623,54.45708675990151,21.187582032244794,787,609,178,59,728,4907,NA,333,466,NA,NA,NA,123,210,179,287,NA,NA,NA,NA,NA,489,300,189
FL-506,2012,417688,90274,192273,30702,63001,161571,34259,213659,23333,85273,4412225,10.92067266064149,15.967920612878563,38.992764790711206,54.378501928540814,21.612782746930723,797,634,163,59,738,4479,NA,286,410,NA,NA,NA,103,183,131,279,NA,NA,NA,NA,NA,430,194,236
FL-506,2013,418070,89830,191343,30507,64170,160836,34740,212460,25079,84047,4369621,11.804104301986257,15.943619573227135,39.89778407819145,54.137447405329596,21.48683234864975,974,810,164,225,749,4056,NA,251,416,NA,NA,NA,70,181,137,279,NA,NA,16,12,4,459,222,237
FL-506,2014,423297,91110,192992,30596,65460,162396,35155,211811,23778,86767,4485009,11.226045861640802,15.853506881114242,40.30887460282273,53.704552398411245,21.523894570478884,805,679,126,188,617,3639,578,187,391,0,196,358,42,127,154,231,0,0,0,0,0,538,241,297
FL-506,2015,422824,88108,192977,31237,66190,161740,35750,212803,22129,86461,4496242,10.398819565513644,16.18690310244226,40.92370471126499,54.011179936546306,20.83798459879288,863,625,238,217,646,3233,594,366,228,0,235,335,159,189,76,146,0,0,0,0,0,382,119,263
FL-506,2016,418931,84805,191039,31324,65826,159715,34582,209302,19455,86471,4493281,9.295181125837306,16.396651992525086,41.21466361957236,52.53547230577583,20.24319040605732,869,635,234,148,721,2827,706,490,216,0,247,435,161,311,86,124,0,0,63,22,41,397,119,278
FL-506,2017,424004,82458,194666,31388,65976,163278,34071,210832,17624,89061,4808417,8.359262351066251,16.12402782201309,40.407158343438795,51.641506002182616,19.447458042848652,1072,810,262,122,950,2426,759,464,295,0,221,514,172,274,49,240,0,0,42,13,29,451,73,378
FL-506,2018,431955,82468,199338,33110,65878,166228,33661,212475,15485,93181,4976473,7.287916225438288,16.60997903059126,39.631109079096184,51.095965269133856,19.091803544350686,909,640,269,99,810,2028,637,469,168,0,263,353,201,252,62,101,0,0,23,3,20,486,62,424
FL-506,2019,433781,83053,201276,33753,66599,167523,33936,213099,14226,93939,5071816,6.675770416566948,16.769510522864124,39.75513810043994,50.95572005585669,19.14629732514794,966,751,215,91,875,1630,807,455,352,0,255,534,185,252,70,282,0,0,10,0,10,398,36,362
FL-506,2020,401011,77426,190876,30334,67279,160542,34275,202082,11872,106946,5843060,5.874842885561306,15.891992707307361,41.90741363630701,50.94457408701081,19.30769978878385,805,590,215,109,696,1237,649,455,194,0,247,384,185,252,62,132,0,0,106,90,16,452,36,416
FL-506,2021,382559,73637,179229,27323,65148,151906,33379,194559,11300,106446,5822481,5.808006825692978,15.24474275926329,42.88704856951009,51.23564806287223,19.248534213023348,621,512,109,91,530,850,306,217,89,0,231,57,194,5,37,52,0,0,34,7,27,465,36,429
FL-506,2022,386169,74691,183351,27053,67035,156298,34414,196607,10328,115633,6300529,5.253119166662428,14.754759995854943,42.88922443025503,51.33736108003282,19.34153181638091,621,482,139,164,457,462,543,452,91,0,227,300,188,248,39,52,0,0,132,75,57,465,36,429
FL-506,2023,386169,74691,183351,27053,67035,156298,34414,196607,10328,115633,6300529,5.253119166662428,14.754759995854943,42.88922443025503,51.33736108003282,19.34153181638091,801,631,170,269,532,76,703,551,152,0,249,442,194,345,55,97,0,0,117,35,82,497,64,433
FL-507,2007,1755209,219297,760033,122182,236249,637851,131860,973129,98170,344793,16907158,10.088076709254375,16.075880915697084,37.03827382884091,55.813992863461856,12.494067658039585,3823,2009,1814,1820,2003,6692,NA,1129,1221,NA,NA,NA,431,698,615,606,NA,NA,NA,NA,NA,556,0,556
FL-507,2008,1755209,219297,760033,122182,236249,637851,131860,973129,98170,344793,16907158,10.088076709254375,16.075880915697084,37.03827382884091,55.813992863461856,12.494067658039585,3734,1797,1937,1368,2366,6240,NA,1244,1166,NA,NA,NA,379,865,590,576,NA,NA,NA,NA,NA,503,0,503
FL-507,2009,1755209,219297,760033,122182,236249,637851,131860,973129,98170,344793,16907158,10.088076709254375,16.075880915697084,37.03827382884091,55.813992863461856,12.494067658039585,3970,2246,1724,1516,2454,5792,NA,1207,1242,NA,NA,NA,383,824,630,612,NA,NA,NA,NA,NA,572,34,538
FL-507,2010,1755209,219297,760033,122182,236249,637851,131860,973129,98170,344793,16907158,10.088076709254375,16.075880915697084,37.03827382884091,55.813992863461856,12.494067658039585,4041,2696,1345,1976,2065,5345,NA,1076,1407,NA,NA,NA,361,715,692,715,NA,NA,NA,NA,NA,740,56,684
